time,people_in,people_out,people_inside
2024-03-19 23:01:44,1,2,-1
2024-03-19 23:01:49,4,2,2
2024-03-19 23:01:54,8,2,6
2024-03-19 23:01:59,10,6,4
2024-03-19 23:02:05,10,6,4
2024-03-19 23:02:10,10,9,1
2024-03-19 23:02:15,11,11,0
2024-03-19 23:02:20,13,11,2
2024-03-19 23:02:25,14,12,2
2024-03-19 23:02:30,14,16,-2
2024-03-19 23:02:35,15,19,-4
2024-03-19 23:02:40,18,21,-3
2024-03-19 23:02:45,21,22,-1
2024-03-19 23:02:50,22,22,0
2024-03-19 23:02:55,23,25,-2
2024-03-19 23:03:00,24,26,-2
2024-03-19 23:03:05,26,27,-1
2024-03-19 23:03:10,27,28,-1
2024-03-19 23:03:15,30,28,2
2024-03-19 23:03:20,36,29,7
2024-03-19 23:03:25,38,29,9
2024-03-19 23:03:30,42,30,12
2024-03-19 23:03:35,45,30,15
2024-03-19 23:03:40,50,32,18
2024-03-19 23:03:45,52,34,18
2024-03-19 23:03:50,53,39,14
2024-03-19 23:03:55,55,43,12
2024-03-19 23:04:00,58,45,13
2024-03-19 23:04:05,62,50,12
2024-03-19 23:04:11,62,50,12
2024-03-19 23:04:16,64,51,13
2024-03-19 23:04:21,65,56,9
2024-03-19 23:04:26,66,58,8
2024-03-19 23:04:31,66,58,8
2024-03-19 23:04:36,69,60,9
2024-03-19 23:04:41,72,61,11
2024-03-19 23:04:46,77,63,14
2024-03-19 23:04:51,82,65,17
2024-03-19 23:04:56,84,65,19
2024-03-19 23:05:01,88,70,18
2024-03-19 23:05:06,88,72,16
2024-03-19 23:05:11,91,74,17
2024-03-19 23:05:16,94,77,17
2024-03-19 23:05:21,97,82,15
2024-03-19 23:05:26,99,85,14
2024-03-19 23:05:31,100,91,9
2024-03-19 23:05:36,100,96,4
2024-03-19 23:05:41,102,98,4
2024-03-19 23:05:46,102,102,0
2024-03-19 23:05:51,103,106,-3
2024-03-19 23:05:56,104,107,-3
2024-03-19 23:06:01,105,108,-3
2024-03-19 23:06:06,105,110,-5
2024-03-19 23:06:11,106,117,-11
2024-03-19 23:06:16,111,119,-8
2024-03-19 23:06:21,112,124,-12
2024-03-19 23:06:26,115,127,-12
2024-03-19 23:06:31,118,127,-9
2024-03-19 23:06:36,120,132,-12
2024-03-19 23:06:41,122,133,-11
2024-03-19 23:06:47,125,135,-10
2024-03-19 23:06:52,130,137,-7
2024-03-19 23:06:57,131,138,-7
2024-03-19 23:07:02,135,139,-4
2024-03-19 23:07:07,139,139,0
2024-03-19 23:07:12,143,140,3
2024-03-19 23:07:17,146,142,4
2024-03-19 23:07:22,147,148,-1
2024-03-19 23:07:27,149,152,-3
2024-03-19 23:07:32,149,153,-4
2024-03-19 23:07:37,150,157,-7
2024-03-19 23:07:42,154,162,-8
2024-03-19 23:07:47,154,166,-12
2024-03-19 23:07:52,157,169,-12
2024-03-19 23:07:57,159,173,-14
2024-03-19 23:08:02,160,174,-14
2024-03-19 23:08:07,160,174,-14
2024-03-19 23:08:12,162,175,-13
2024-03-19 23:08:17,163,176,-13
2024-03-19 23:08:22,166,180,-14
2024-03-19 23:08:27,170,182,-12
2024-03-19 23:08:32,172,188,-16
2024-03-19 23:08:37,173,192,-19
2024-03-19 23:08:42,174,196,-22
2024-03-19 23:08:47,178,200,-22
2024-03-19 23:08:52,182,203,-21
2024-03-19 23:08:57,185,205,-20
2024-03-19 23:09:03,186,205,-19
2024-03-19 23:09:08,188,205,-17
2024-03-19 23:09:13,189,206,-17
2024-03-19 23:09:18,192,210,-18
2024-03-19 23:09:23,194,212,-18
2024-03-19 23:09:28,199,215,-16
2024-03-19 23:09:33,202,216,-14
2024-03-19 23:09:38,204,216,-12
2024-03-19 23:09:43,209,216,-7
2024-03-19 23:09:48,209,219,-10
2024-03-19 23:09:53,209,220,-11
2024-03-19 23:09:58,210,220,-10
2024-03-19 23:10:03,211,221,-10
2024-03-19 23:10:08,213,222,-9
2024-03-19 23:10:13,214,225,-11
2024-03-19 23:10:18,215,226,-11
2024-03-19 23:10:23,215,226,-11
2024-03-19 23:10:28,215,227,-12
2024-03-19 23:10:33,215,230,-15
2024-03-19 23:10:38,217,232,-15
2024-03-19 23:10:43,218,235,-17
2024-03-19 23:10:48,221,241,-20
2024-03-19 23:10:54,223,243,-20
2024-03-19 23:10:59,226,248,-22
2024-03-19 23:11:04,230,251,-21
2024-03-19 23:11:09,233,254,-21
2024-03-19 23:11:14,236,257,-21
2024-03-19 23:11:19,236,258,-22
2024-03-19 23:11:24,236,258,-22
2024-03-19 23:11:29,239,259,-20
2024-03-19 23:11:34,241,261,-20
2024-03-19 23:11:39,243,263,-20
2024-03-19 23:11:44,243,264,-21
2024-03-19 23:11:49,244,266,-22
2024-03-19 23:11:54,245,270,-25
2024-03-19 23:11:59,245,270,-25
2024-03-19 23:12:04,247,272,-25
2024-03-19 23:12:09,250,277,-27
2024-03-19 23:12:14,251,278,-27
2024-03-19 23:12:19,253,280,-27
2024-03-19 23:12:24,253,282,-29
2024-03-19 23:12:29,253,284,-31
2024-03-19 23:12:34,253,288,-35
2024-03-19 23:12:39,253,290,-37
2024-03-19 23:12:44,254,291,-37
2024-03-19 23:12:49,254,291,-37
2024-03-19 23:12:54,255,294,-39
2024-03-19 23:12:59,255,297,-42
2024-03-19 23:13:05,257,297,-40
2024-03-19 23:13:10,259,301,-42
2024-03-19 23:13:15,260,305,-45
2024-03-19 23:13:20,263,307,-44
2024-03-19 23:13:25,266,309,-43
2024-03-19 23:13:30,270,311,-41
2024-03-19 23:13:35,272,313,-41
2024-03-19 23:13:40,272,315,-43
2024-03-19 23:13:45,273,317,-44
2024-03-19 23:13:50,278,320,-42
2024-03-19 23:13:55,279,323,-44
2024-03-19 23:14:00,282,325,-43
2024-03-19 23:14:05,283,327,-44
2024-03-19 23:14:10,285,328,-43
2024-03-19 23:14:15,285,334,-49
2024-03-19 23:14:20,285,337,-52
2024-03-19 23:14:25,289,339,-50
2024-03-19 23:14:30,289,339,-50
2024-03-19 23:14:35,293,342,-49
2024-03-19 23:14:40,296,345,-49
2024-03-19 23:14:45,297,347,-50
2024-03-19 23:14:50,298,349,-51
2024-03-19 23:14:55,300,349,-49
2024-03-19 23:15:01,302,349,-47
2024-03-19 23:15:06,302,349,-47
2024-03-19 23:15:11,302,349,-47
2024-03-19 23:15:16,303,351,-48
2024-03-19 23:15:21,305,354,-49
2024-03-19 23:15:26,305,356,-51
2024-03-19 23:15:31,306,359,-53
2024-03-19 23:15:36,309,362,-53
2024-03-19 23:15:41,309,363,-54
2024-03-19 23:15:46,312,367,-55
2024-03-19 23:15:51,313,368,-55
2024-03-19 23:15:56,314,371,-57
2024-03-19 23:16:01,314,371,-57
2024-03-19 23:16:06,316,377,-61
2024-03-19 23:16:11,317,379,-62
2024-03-19 23:16:16,318,385,-67
2024-03-19 23:16:21,324,387,-63
2024-03-19 23:16:26,328,389,-61
2024-03-19 23:16:31,329,391,-62
2024-03-19 23:16:36,330,392,-62
